机场名称,餐厅编码,餐厅名称,餐厅状态,套餐类型,套餐内容,套餐供应时间,站点类型,航站楼,出发类型,安检类型,位置指引,境内外,机场编码,城市,省份
广州白云国际机场,N02199,味千拉面(T2),正常使用,餐食体验厅,"饮品：【超大可乐 * 1】,配菜：【金针菇牛肉卷(4只) * 4,海裙菜 * 1】,主食：【经典味千拉面 * 1】",07:30-21:00,机场,T2航站楼,国内出发,安检后,过安检后左转直行50米附近(三楼美食区),境内,CAN,广州市,广东省
无锡硕放机场,N02150,王四酒家,正常使用,餐食体验厅,"饮品：【冻柠茶 * 1】,配菜：【盐水鸭 * 1,凉拌黄瓜 * 1,卤蛋 * 1,辣白菜 * 1】,主食：【红烧牛肉面 * 1】",06:00-21:00,机场,T2航站楼,国内出发,安检后,隔离区内17号登机口对面,境内,WUX,无锡市,江苏省
济南遥墙国际机场,N02151,老边饺子,正常使用,餐食体验厅,"饮品：【鲜榨果汁 * 1】,小食：【酱牛肉 * 1】,主食：【鲅鱼水饺 * 1】",05:10-21:30,机场,主航站楼,国内出发,安检后,隔离区2号登机口旁,境内,TNA,济南市,山东省
长沙黄花国际机场,N02262,湘味小厨,正常使用,餐食体验厅,"汤品：【滋补乌鸡汤/虫草花老鸭汤 * 1】,小食：【臭豆腐 * 1】,配菜：【鸡汁脆笋 * 1】,主食：【小炒黄牛肉 * 1,米饭1份 * 1】",09:00-21:00,机场,T2航站楼,国内出发,安检后,隔离区旅客候机区A岛,境内,CSX,长沙市,湖南省
长沙黄花国际机场,N02263,隆港·湘味名小吃（T2安检后）,正常使用,餐食体验厅,"汤品：【滋补乌鸡汤/虫草花老鸭汤 * 1】,小食：【臭豆腐 * 1】,配菜：【鸡汁脆笋 * 1】,主食：【小炒黄牛肉 * 1,米饭1份 * 1】",09:00-21:00,机场,T2航站楼,国内出发,安检后,隔离区旅客候机区B岛,境内,CSX,长沙市,湖南省
无锡硕放机场,N02307,皇亭美食(A-K-8店),正常使用,餐食体验厅,"汤品：【紫莱蛋花汤 * 1】,配菜：【酸辣土豆丝 * 1,凉拌青菜木耳 * 1,虎皮凤爪 * 1,木耳 * 1】,主食：【无锡蟹粉小笼 * 1】",08:00-20:30,机场,T2航站楼,国内出发,安检后,10号登机口旁,境内,WUX,无锡市,江苏省
宁波栎社国际机场,N02327,富春茶社,正常使用,餐食体验厅,"饮品：【凤梨百香果茶 * 1】,主食：【梅菜扣肉 * 1,金汤酸菜鱼 * 1,米饭 * 1】",06:00-21:30,机场,T2航站楼,国内出发,安检后,218登机口正对面,境内,NGB,宁波市,浙江省
贵阳龙洞堡国际机场,N02154,猫婆小面,正常使用,餐食体验厅,"饮品：【金桔柠檬 * 1】,小食：【青岩卤猪蹄 * 1,白灼时蔬 * 1】,主食：【牛肉面套餐 * 1】",06:00-22:00,机场,T2航站楼,国内出发,安检后,208登机口对面,境内,KWE,贵阳市,贵州省
广州白云国际机场,N02334,半岛名轩(T23D-71店),正常使用,餐食体验厅,"配菜：【泉水白灼生菜 * 1】,主食：【酸菜鱼 * 1,白米饭 * 1】",10:00-21:00,机场,T2航站楼,国内出发,安检后,B区安检口左转直行30米处,境内,CAN,广州市,广东省
桂林两江国际机场,N02188,桂林特色小吃(207登机口旁),正常使用,餐食体验厅,"汤品：【海带排骨汤 * 1】,饮品：【豆浆 * 1】,小食：【水果 * 1,烤肠 * 1,单份扣肉 * 1】,配菜：【凉拌小菜 * 1】,主食：【排骨米饭 * 1】",最早航班-最晚航班,机场,T2航站楼,国内出发,安检后,进安检后右手边下二楼207登机口旁,境内,KWL,桂林市,广西壮族自治区
呼和浩特白塔国际机场,N02223,紫悦、呼市名小吃,正常使用,餐食体验厅,"饮品：【桂圆红枣茶 * 1】,小食：【精美小凉菜 * 1】,配菜：【麻婆豆腐 * 1】,主食：【米饭 * 1,毛氏红烧肉 * 1】",10:30-20:00,机场,T2航站楼,国内出发,安检后,隔离区内9号登机口对面,境内,HET,呼和浩特市,内蒙古自治区
哈尔滨太平国际机场,N02228,紫悦东北名小吃(安检内),正常使用,餐食体验厅,"饮品：【茶水1壶 * 1】,主食：【地道酸菜炖脊骨 * 1,石锅有机菜花 * 1,辣白菜 * 1,白米饭 * 1】",10:00-20:00,机场,T2航站楼,国内出发,安检后,隔离区内三角区阳光大厅(询问处对面),境内,HRB,哈尔滨市,黑龙江省
洛阳北郊机场,N02408,宽门窄味,正常使用,餐食体验厅,"饮品：【毛尖茶 * 1,奶特咖啡 * 1】,汤：【例汤 * 1】,小食：【米饭 * 1,水果沙拉 * 1】,配菜：【凉菜 * 1,时蔬 * 1】,主食：【红烧排骨 * 1,红烧牛肉 * 1】",07:30-20:30,机场,主航站楼,国内出发,安检后,电梯或步梯上楼可见餐厅,境内,LYA,洛阳市,河南省
乌鲁木齐地窝堡国际机场,N02412,塔城拌面,正常使用,餐食体验厅,"饮品：【时令饮品 * 1】,配菜：【水煮鸡蛋 * 1,开胃小菜 * 1,时令水果 * 1】,主食：【招牌牛肉面 * 1】",06:00-20:30,机场,T3航站楼,国内出发,安检后,A区31-32通道旁,境内,URC,乌鲁木齐市,新疆维吾尔自治区
宁波栎社国际机场,N02400,舌尖尖拉面,正常使用,餐食体验厅,"饮品：【酸梅汁或自制饮品 * 1】,配菜：【凉拌牛肉1份 * 1】,主食：【正宗牛肉拉面 * 1】",05:30-航班结束,机场,T2航站楼,国内出发,安检后,安检后右转楼下出发厅远机位245登机口旁边,境内,NGB,宁波市,浙江省
长春龙嘉国际机场,N02565,味一楼,正常使用,餐食体验厅,"饮品：【鲜榨果汁 * 1】,小食：【肉沫拉皮 * 1,全聚德鸭货鸭锁骨2袋（可外带） * 2】,主食：【半筋半肉牛肉面 * 1】",06:00-21:00,机场,T2航站楼,国内出发,安检后,出发大厅17号登机口对面,境内,CGQ,长春市,吉林省
长春龙嘉国际机场,N02566,满宝馄饨,正常使用,餐食体验厅,"饮品：【鲜榨果汁 * 1】,小食：【肉沫拉皮 * 1,全聚德鸭货猪蹄2袋（可外带） * 2】,主食：【虾皇馄饨 * 1】",06:00-21:00,机场,T2航站楼,国内出发,安检后,出发大厅26号登机口对面,境内,CGQ,长春市,吉林省
