机场名称,服务权益机构,龙腾网点编码,站点名称,省份,城市,机场编码,休息室名称,航站楼,安检类型,品质贵宾厅（是/否）,品质厅亮点,休息室位置,出发类型,服务内容,服务时长（小时）,营业时间
武汉天河国际机场,"移动,全球通,移动全球通",N04930,武汉天河国际机场,湖北省,武汉市,,5号国内头等舱休息室（T3国内）,T3航站楼,安检后,否,,B区安检后，右边扶梯下行至二楼05号头等舱休息室,国内出发,"休息室休息,小食,茶水/饮料",2小时,根据当日航班运行情况开厅
长沙黄花国际机场,"移动,全球通,移动全球通",N04931,长沙黄花国际机场,湖南省,长沙市,,T2-17号国际厅,T2航站楼,安检后,否,,安检后，17号国际厅,国际出发,"休息室休息,小食,茶水/饮料",2小时,根据当日航班运行情况开厅
赣州黄金机场,"移动,全球通,移动全球通",N04932,赣州黄金机场,江西省,赣州市,KOW,1号头等舱休息室(T2国内）,主航站楼,安检后,否,,安检后，201登机口旁,国内出发,"休息室休息,小食,茶水/饮料",2小时,根据当日航班运行情况开厅
锦州湾机场,"移动,全球通,移动全球通",N04933,锦州湾机场,辽宁省,锦州市,JNZ,头等舱休息室（3号）,主航站楼,安检后,否,,"安检后,右侧手扶梯至二楼头等舱休息区",国内出发,"电视,茶水/饮料,报刊杂志,小食",2小时,根据当日航班运行情况开厅
满洲里西郊国际机场,"移动,全球通,移动全球通",N04934,满洲里西郊国际机场,内蒙古自治区,满洲里,NZH,头等舱休息厅（安检后）,主航站楼,安检后,否,,安检后乘电梯上二层,国内出发,"休息室休息,小食,茶水/饮料",2小时,根据当日航班运行情况开厅
铜仁凤凰机场,"移动,全球通,移动全球通",N04935,铜仁凤凰机场,贵州省,铜仁市,TEN,贵宾室二,主航站楼,安检后,否,,候机楼二楼,国内出发,"休息室休息,小食,茶水/饮料",2小时,根据当日航班运行情况开厅
拉萨贡嘎机场,"移动,全球通,移动全球通",N04936,拉萨贡嘎机场,西藏自治区,拉萨市,LXA,国际头等舱休息室（T2）,T2航站楼,安检后,否,,安检后，T2国际头等舱休息室,国际出发,"休息室休息,小食,茶水/饮料",2小时,根据当日航班运行情况开厅
广州白云国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡,广州银行,广州银行龙腾卡",N02199,广州白云国际机场,广东省,广州市,CAN,味千拉面(T2),T2航站楼,安检后,否,,过安检后左转直行50米附近(三楼美食区),国内出发,"饮品：【超大可乐 * 1】,配菜：【金针菇牛肉卷(4只) * 4,海裙菜 * 1】,主食：【经典味千拉面 * 1】",2小时,07:30-21:00
广州白云国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡,广州银行,广州银行龙腾卡",N02334,广州白云国际机场,广东省,广州市,CAN,半岛名轩(T23D-71店),T2航站楼,安检后,否,,B区安检口左转直行30米处,国内出发,"配菜：【泉水白灼生菜 * 1】,主食：【酸菜鱼 * 1,白米饭 * 1】",2小时,10:00-21:00
广州白云国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡,广州银行,广州银行龙腾卡",N02574,广州白云国际机场,广东省,广州市,CAN,太平洋咖啡,T1航站楼,安检后,否,,B区西二指廊，B214登机口附近,国内出发,"饮品：【榛子拿铁 * 1,依云水 * 1】,甜点：【伯爵抹茶/朗姆栗子/LaViÑa 巴斯克/奥利奥芝士/海盐太妃芝士/熊猫王子(芝士蛋糕) * 1】,主食：【火腿芝士可颂 * 1】",2小时,05:30-22:00
广州白云国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡,广州银行,广州银行龙腾卡",N02575,广州白云国际机场,广东省,广州市,CAN,惠如楼,T2航站楼,安检后,否,,过安检后左转直行50米附近(三楼美食区),国内出发,"配菜：【白灼菜心 * 1】,主食：【如意白切鸡 * 1,白米饭 * 1】",2小时,05:30-22:00(新套餐从2023-8-1启用）
广州白云国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡,广州银行,广州银行龙腾卡",N02718,广州白云国际机场,广东省,广州市,CAN,美颐美,T1航站楼,安检后,否,,B区221登机口旁,国内出发,"汤品：【椰子鸡汤 * 1】,饮品：【百香果金桔汁 * 1】,小食：【咖喱鱼丸 * 1,鲍汁酱骨架2块 * 1】,配菜：【菜心 * 1,酸辣云耳 * 1】,主食：【鲍汁排骨饭 * 1】",2小时,10:00-22:00
广州白云国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡,广州银行,广州银行龙腾卡",N02931,广州白云国际机场,广东省,广州市,CAN,味千拉面,T1航站楼,安检后,否,,A127登机口旁边,国内出发,"饮品：【超大可乐 * 1】,配菜：【金针菇牛肉卷(4只) * 4,海裙菜 * 1】,主食：【经典味千拉面 * 1】",2小时,08:00-22:00
广州白云国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡,广州银行,广州银行龙腾卡",N02932,广州白云国际机场,广东省,广州市,CAN,味千拉面（T1B区）,T1航站楼,安检后,否,,B223登机口旁边,国内出发,"饮品：【超大可乐 * 1】,配菜：【金针菇牛肉卷(4只) * 4,海裙菜 * 1】,主食：【经典味千拉面 * 1】",2小时,08:00-22:00
广州白云国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡,广州银行,广州银行龙腾卡",N03161,广州白云国际机场,广东省,广州市,CAN,遇见小面(T1安检内B204登机口旁),T1航站楼,安检后,否,,B204登机口旁，B208登机口对面,国内出发,"饮品：【酸梅汤(350ml） * 1】,小食：【酱板鸭 * 1,香酥带鱼 * 1】,配菜：【白灼小青菜  * 1,爽口海草 * 1,开胃泡菜 * 1】,主食：【超级碗(多拼浇头面) * 1】",2小时,06:00-22:00
广州白云国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡,广州银行,广州银行龙腾卡",N03162,广州白云国际机场,广东省,广州市,CAN,遇见小面(T2安检内275登机口),T2航站楼,安检后,否,,275登机口附近,国内出发,"饮品：【酸梅汤(350ml） * 1】,小食：【酱板鸭 * 1,香酥带鱼 * 1】,配菜：【白灼小青菜  * 1,爽口海草 * 1,开胃泡菜 * 1】,主食：【超级碗(多拼浇头面) * 1】",2小时,06:00-22:00
